Respondent ID,Quiz Summary,,,,Quiz Results,,,,
,Score,Points,Rank,Percentile,Correct,Incorrect,Partially Correct,Skipped,Total_Questions
13113507294,94%,16/17,1/242,100%,13,1,0,0,14
13113507172,82%,14/17,25/242,89%,11,3,0,0,14
13113507039,0%,0/17,242/242,0%,0,0,0,14,14
13113506928,94%,16/17,1/242,100%,13,1,0,0,14
13113506716,88%,15/17,14/242,94%,12,2,0,0,14
13113506646,94%,16/17,1/242,100%,13,1,0,0,14
13109642118,0%,0/17,242/242,0%,0,0,0,14,14
13109640798,71%,12/17,72/242,67%,9,5,0,0,14
13109637563,71%,12/17,72/242,67%,9,5,0,0,14
13109637430,0%,0/17,242/242,0%,0,0,0,14,14
13109637308,35%,6/17,177/242,18%,3,9,2,0,14
13109636473,0%,0/17,242/242,0%,0,0,0,14,14
13109634811,53%,9/17,136/242,37%,7,6,1,0,14
13109634580,65%,11/17,92/242,58%,8,6,0,0,14
13109634562,65%,11/17,92/242,58%,8,5,1,0,14
13109633796,53%,9/17,136/242,37%,6,6,2,0,14
13109633321,47%,8/17,153/242,29%,5,7,2,0,14
13109630519,59%,10/17,120/242,45%,7,6,1,0,14
13109630203,0%,0/17,242/242,0%,0,0,0,14,14
13109629099,41%,7/17,168/242,22%,6,8,0,0,14
13109628970,65%,11/17,92/242,58%,8,5,1,0,14
13109628712,76%,13/17,45/242,80%,10,4,0,0,14
13109626728,65%,11/17,92/242,58%,8,6,0,0,14
13109533782,0%,0/17,242/242,0%,0,0,0,14,14
13109526734,0%,0/17,242/242,0%,0,0,0,14,14
13109523563,65%,11/17,92/242,58%,8,5,1,0,14
13109521772,65%,11/17,92/242,58%,8,5,1,0,14
13109519951,0%,0/17,242/242,0%,0,0,0,14,14
13109517136,71%,12/17,72/242,67%,9,5,0,0,14
13109516516,41%,7/17,168/242,22%,5,7,2,0,14
13109515873,6%,1/17,212/242,2%,1,13,0,0,14
13109513219,0%,0/17,242/242,0%,0,0,0,14,14
13109513045,0%,0/17,242/242,0%,0,0,0,14,14
13109512543,65%,11/17,92/242,58%,8,5,1,0,14
13109510366,47%,8/17,153/242,29%,5,6,3,0,14
13109509762,53%,9/17,136/242,37%,7,7,0,0,14
13109509474,24%,4/17,201/242,7%,4,10,0,0,14
13109508335,47%,8/17,153/242,29%,6,8,0,0,14
13109508019,0%,0/17,242/242,0%,0,0,0,14,14
13109507863,12%,2/17,210/242,3%,2,12,0,0,14
13109507810,76%,13/17,45/242,80%,10,4,0,0,14
13109506296,29%,5/17,192/242,11%,3,9,2,0,14
13109506110,76%,13/17,45/242,80%,10,4,0,0,14
13109505297,41%,7/17,168/242,22%,4,7,3,0,14
13109504812,59%,10/17,120/242,45%,8,6,0,0,14
13109504757,59%,10/17,120/242,45%,7,6,1,0,14
13109504646,59%,10/17,120/242,45%,7,5,2,0,14
13109504205,24%,4/17,201/242,7%,4,10,0,0,14
13109504182,65%,11/17,92/242,58%,8,5,1,0,14
13109503740,35%,6/17,177/242,18%,5,8,1,0,14
13109503425,65%,11/17,92/242,58%,8,6,0,0,14
13109502656,35%,6/17,177/242,18%,5,8,1,0,14
13109338779,71%,12/17,72/242,67%,9,4,1,0,14
13109338563,65%,11/17,92/242,58%,8,4,2,0,14
13109337873,29%,5/17,192/242,11%,4,9,1,0,14
13109336927,29%,5/17,192/242,11%,4,9,1,0,14
13109336342,0%,0/17,242/242,0%,0,0,0,14,14
13109336036,35%,6/17,177/242,18%,5,9,0,0,14
13109335731,0%,0/17,242/242,0%,0,0,0,14,14
13109334724,0%,0/17,242/242,0%,0,0,0,14,14
13109332744,12%,2/17,210/242,3%,2,12,0,0,14
13109331965,6%,1/17,212/242,2%,1,13,0,0,14
13109331112,0%,0/17,242/242,0%,0,0,0,14,14
13109330798,0%,0/17,242/242,0%,0,0,0,14,14
13109328412,65%,11/17,92/242,58%,8,4,2,0,14
13109326418,59%,10/17,120/242,45%,7,6,1,0,14
13109324378,82%,14/17,25/242,89%,11,3,0,0,14
13109324073,0%,0/17,242/242,0%,0,0,0,14,14
13109323935,0%,0/17,242/242,0%,0,0,0,14,14
13109323864,59%,10/17,120/242,45%,7,6,1,0,14
13109323850,71%,12/17,72/242,67%,9,3,2,0,14
13109323730,59%,10/17,120/242,45%,7,5,2,0,14
13109323349,59%,10/17,120/242,45%,7,5,2,0,14
13109319279,0%,0/17,242/242,0%,0,0,0,14,14
13109318725,53%,9/17,136/242,37%,6,6,2,0,14
13109318617,65%,11/17,92/242,58%,8,6,0,0,14
13109318558,76%,13/17,45/242,80%,10,4,0,0,14
13109318496,76%,13/17,45/242,80%,10,4,0,0,14
13109314362,76%,13/17,45/242,80%,10,4,0,0,14
13109305465,65%,11/17,92/242,58%,8,5,1,0,14
13109247206,6%,1/17,212/242,2%,1,13,0,0,14
13109233271,82%,14/17,25/242,89%,11,3,0,0,14
13109227908,0%,0/17,242/242,0%,0,0,0,14,14
13109220199,41%,7/17,168/242,22%,5,7,2,0,14
13109219984,59%,10/17,120/242,45%,7,6,1,0,14
13109217753,65%,11/17,92/242,58%,8,6,0,0,14
13109217284,47%,8/17,153/242,29%,5,7,2,0,14
13109216883,47%,8/17,153/242,29%,6,7,1,0,14
13109216583,0%,0/17,242/242,0%,0,0,0,14,14
13109216382,35%,6/17,177/242,18%,4,9,1,0,14
13109214238,29%,5/17,192/242,11%,5,9,0,0,14
13109213324,41%,7/17,168/242,22%,5,8,1,0,14
13109213311,76%,13/17,45/242,80%,10,4,0,0,14
13109212529,53%,9/17,136/242,37%,6,7,1,0,14
13109211135,47%,8/17,153/242,29%,5,6,3,0,14
13109210503,71%,12/17,72/242,67%,9,3,2,0,14
13109209470,47%,8/17,153/242,29%,5,7,2,0,14
13109206409,65%,11/17,92/242,58%,8,5,1,0,14
13109206121,6%,1/17,212/242,2%,1,13,0,0,14
