Respondent ID,Quiz Summary,,,,Quiz Results,,,,
,Score,Points,Rank,Percentile,Correct,Incorrect,Partially Correct,Skipped,Total_Questions
12779750893,24%,4/17,118/30,6%,2,10,2,0,14
12779748757,29%,5/17,113/30,10%,5,9,0,0,14
12779697911,82%,14/17,20/30,85%,11,3,0,0,14
12779690255,94%,16/17,1/30,100%,13,1,0,0,14
12779682341,94%,16/17,1/30,100%,13,1,0,0,14
12779680220,94%,16/17,1/30,100%,13,1,0,0,14
12779647107,76%,13/17,37/30,71%,10,4,0,0,14
12779642758,82%,14/17,20/30,85%,11,2,1,0,14
12779642728,94%,16/17,1/30,100%,13,1,0,0,14
12779642539,82%,14/17,20/30,85%,11,3,0,0,14
12779350819,94%,16/17,1/30,100%,13,1,0,0,14
12775228632,88%,15/17,11/30,92%,12,2,0,0,14
12770620268,82%,14/17,20/30,85%,11,3,0,0,14
12770618950,53%,9/17,83/30,34%,7,6,1,0,14
12770552631,82%,14/17,20/30,85%,11,3,0,0,14
12654901505,71%,12/17,56/30,56%,9,4,1,0,14
12654901169,82%,14/17,20/30,85%,11,3,0,0,14
12630267422,71%,12/17,56/30,56%,9,5,0,0,14
12587574713,35%,6/17,105/30,16%,4,8,2,0,14
12587541581,65%,11/17,67/30,47%,9,5,0,0,14
12587533293,82%,14/17,20/30,85%,11,3,0,0,14
12587530705,59%,10/17,77/30,39%,7,6,1,0,14
12587528667,47%,8/17,93/30,26%,5,7,2,0,14
12587527425,47%,8/17,93/30,26%,5,7,2,0,14
12587518295,53%,9/17,83/30,34%,6,8,0,0,14
12587517122,53%,9/17,83/30,34%,7,5,2,0,14
12587513435,82%,14/17,20/30,85%,11,3,0,0,14
12587498761,65%,11/17,67/30,47%,8,4,2,0,14
12587497634,65%,11/17,67/30,47%,8,4,2,0,14
12587487814,76%,13/17,37/30,71%,10,4,0,0,14
